사용자질문,추천결과,정답Intent,추천방법,추천근거,정답여부,
네행기에 띤세품 언제 ㅇㅈ?,85,216,none,{},FALSE,
비행기에 면세품 반입 ㅇㅈ?,216,216,cnn,{},TRUE,
띤세품 뱅기에 ㅇㅈ?,42,216,none,{},FALSE,
띤세품 네행기에 ㅇㅈ? ㄴㅇㅈ?,85,216,none,{},FALSE,
띤세품 네행기에 어떻게 ㅇㅈ?,125,216,none,{},FALSE,
면세품 비행기에데리고 탈수있는지 알려줘,216,216,cnn,{},TRUE,
포장된 면세상품은 기내반입 가능하지?,216,216,cnn,{},TRUE,
어떤 면세가 기내반입불가한지 알려줘,216,216,cnn,{},TRUE,
면세물건 기내반입 가능항 부분?,216,216,cnn,{},TRUE,
면세품 뱅기에 반입 인정?,216,216,cnn,{},TRUE,
면세쇼핑한거 뱅기에 가지고타는거 갠춘?,216,216,cnn,{},TRUE,
면세점쇼핑한거 기내에 들어갈수있는 부분임?,216,216,cnn,{},TRUE,
면세쇼핑물건 뱅기반입할때 괜찮은 부분임?,216,216,cnn,{},TRUE,
면세물건가지고 뱅기타도되는 각?,216,216,cnn,{},TRUE,
면세 상품이란 바로 그 규정에 근거하여 정한 것이다.,44,216,none,{},FALSE,
면세된 상품 비행기 반입 규칙,216,216,cnn,{},TRUE,
인도 여행하면 위험요소가 많?쓩?,217,217,cnn,{},TRUE,
수단같은곳은 여행할때 많이 조심해야되?,217,217,cnn,{},TRUE,
어디가 젤 여행하기 위험해?,217,217,cnn,{},TRUE,
소말리아 위험국가야?,217,217,cnn,{},TRUE,
온두라스가면 안되?,207,217,none,{},FALSE,
여행 비추천국가에 베네수엘라있어?,217,217,cnn,{},TRUE,
여행 안전 국가 목록 보여줘,217,217,cnn,{},TRUE,
목숨을내놓고 여행해야되는 나라는?,217,217,cnn,{},TRUE,
예멘 여행 금지 각?,217,217,cnn,{},TRUE,
프랑스 테러때문에 여행하기 걱정되,217,217,cnn,{},TRUE,
러시아는 여행하기 괜찮은 곳이야?,217,217,cnn,{},TRUE,
아제르바이잔 여행경보 몇단계인가요?,217,217,cnn,{},TRUE,
여행 경보 단계 알려줘 이라크,217,217,cnn,{},TRUE,
니우에의 경보 단게 높니? ,217,217,cnn,{},TRUE,
리비아는 얼마나 위험한곳인가요?,217,217,cnn,{},TRUE,
후쿠시마 여행하면 안되는거지?,217,217,cnn,{},TRUE,
여행경보 뜨는곳 어딘가요,217,217,cnn,{},TRUE,
이라크같은곳엔 여행이 불가능하지?,217,217,cnn,{},TRUE,
몰디브 지금 여행 가능한가요,217,217,cnn,{},TRUE,
여행 경보 수위알려줘 카타르,217,217,cnn,{},TRUE,
소말리아 여행경보 어때?,217,217,cnn,{},TRUE,
케냐 여행하기 괜찮을까?,217,217,cnn,{},TRUE,
남수단 여행경보정보,217,217,cnn,{},TRUE,
네팔에 테러위험이 있나요?,217,217,cnn,{},TRUE,
여행하기 불안한가요 인도,217,217,cnn,{},TRUE,
치안상태가 어때? 파키스탄,74,217,none,{},FALSE,
쿠바 여행하기 좋은곳이야?,217,217,cnn,{},TRUE,
첼레엔 여행경보 없지?,217,217,cnn,{},TRUE,
병원 어디써,218,218,cnn,{},TRUE,
병원어디써,218,218,cnn,{},TRUE,
병원은 어디에 있나요?,218,218,cnn,{},TRUE,
병원은 어디에 있어?,218,218,cnn,{},TRUE,
계약종별 착오로 발생한 위약금을 청구하는 소송 관련 판례 보여줘,219,219,cnn,{},TRUE,
위반한 계약종별 적발 시 진행하는 위약금청구소송에 대하여,219,219,cnn,{},TRUE,
계약종별 관련하여 위약금 발생 시 청구소송 판례 보기,219,219,cnn,{},TRUE,
지정된 계약종별 외의 사용으로 위약금청구소송 ,219,219,cnn,{},TRUE,
위법 계약종별 사용 위약금청구소송 판례,219,219,cnn,{},TRUE,
전기요금표 기준 계약종별 위반 시 진행하는 위약금소송에 대하여,219,219,cnn,{},TRUE,
계약종별 사용과 관련된 소송 중 위약금 내용 부분 보기,219,219,cnn,{},TRUE,
계약종별에 대한 위약금청구가능여부,219,219,cnn,{},TRUE,
기존에 계약종별 관련 위약금 청구한 판례 보기,219,219,cnn,{},TRUE,
계약종별에 대한 위약금청구의 소 제기한 판례 모두 보기,219,219,cnn,{},TRUE,
위법한 계약종별 사용으로 위약금청구소송 제기하여 승소한 판례 보기,219,219,cnn,{},TRUE,
지난번 계약종별에 대한 위약금청구소송에서 참조된 판례 내용,219,219,cnn,{},TRUE,
계약종별 전력사용자에 대한 위약금청구소송 판례,219,219,cnn,{},TRUE,
계약종별을 부당하게 이용한 사용자에 대하여 위약금을 청구한 사례,219,219,cnn,{},TRUE,
위약금청구소송에서 계약종별과 관련하여 승소한 판례가 있는지,219,219,cnn,{},TRUE,
계약종별을 고의로 잘못 사용한 경우 위약금청구소송 판례 보기,219,219,cnn,{},TRUE,
장기간 잘못 사용한 계약종별에 대한 위약금소송 사례 보기,219,219,cnn,{},TRUE,
용도에 맞지않는 계약종별 사용했을 경우 위약금청구소송 가능 여부,219,219,cnn,{},TRUE,
사용자 과실이 아닐 때 전기요금 반환청구소송 가능 여부,220,220,cnn,{},TRUE,
전기요금 반환청구의 소,220,220,cnn,{},TRUE,
과잉 납부한 전기요금에 대해 반환소송 청구한 판례 검색,220,220,cnn,{},TRUE,
부당한 전기요금 관련 반환청구소송 판례 보여줘,220,220,cnn,{},TRUE,
전기요금 반환청구소송의 소송요건?명시한 판례 찾아줘,220,220,cnn,{},TRUE,
전기요금 반환청구소송에서 구할 이익이 없이 기각한 판례 알려줘,220,220,cnn,{},TRUE,
요금 산정기준을 벗어난 전기요금에 대해 반환소송 청구한 경우,220,220,cnn,{},TRUE,
소송요건 미비로 전기세 반환청구소송 각하한 판례 보기,220,220,cnn,{},TRUE,
이용하지 않은 전력에 대해 납부한 요금 반환소송 청구한 사례,220,220,cnn,{},TRUE,
중복으로 납부한 전기요금에 대한 반환청구소송 판례 검색,220,220,cnn,{},TRUE,
산정의 착오에 의한 전기요금에 대해 반환소송 제기한 경우,220,220,cnn,{},TRUE,
요금산정 기준을 잘못 적용한 전기요금 관련 반환청구소송의 결과,220,220,cnn,{},TRUE,
전기요금 반환청구소송의 청구권 인용한 판례 보기,220,220,cnn,{},TRUE,
청구권 부정한 전기요금 반환청구소송의 사례,220,220,cnn,{},TRUE,
과다 산정된 전기요금 반환청구소송 인용한 판례 찾아줘,220,220,cnn,{},TRUE,
전기요금 반환소송 청구하는 사유에 대해 명시한 판례 알려줘,220,220,cnn,{},TRUE,
전기요금 반환청구소송의 청구권 인용 범위 관련 판례 보기,220,220,cnn,{},TRUE,
잘못 측정된 전기요금에 대해 반환 청구한 소송 판례문,220,220,cnn,{},TRUE,
전기요금 반환청구소소송 기각한 판례 검색해주세요,220,220,cnn,{},TRUE,
계량기 오류로 잘못 청구된 전기요금에 대해 반환소송 청구한 경우,220,220,cnn,{},TRUE,
구상권 청구 소송이 감전사고 발생시에도 가능한가요?,221,221,cnn,{},TRUE,
감전사고 발생시 관련 대법원 판례들 모두 보고싶어요,245,221,none,{},FALSE,
감전사고 때문에 발생한 구상권 소송판례들 볼 수 있을까요?,221,221,cnn,{},TRUE,
감전에 관련된 구상권 청구 소송 판례 어떤 것들이 있나요?,221,221,cnn,{},TRUE,
감전에 의한 구상권 청구 배상 과실에 대한 비율 판례 알고싶습니다,221,221,cnn,{},TRUE,
감전사고 후 치료비에 대한 구상권 청구 판례에 대해 알고싶습니다,221,221,cnn,{},TRUE,
감전사고 발생시 구상금 지급에 대한 면책 판례가 있나요?,221,221,cnn,{},TRUE,
감전으로 인한 사고 발생시 구상금 청구 소송에 대한 판례가 궁금합니다,221,221,cnn,{},TRUE,
감전사고에 대한 피해금액 구상금 청구 소송 가능한가요?,221,221,cnn,{},TRUE,
감전사고 관련 구상금 청구?판례 알려주세요,221,221,cnn,{},TRUE,
감전사고로 인한 구상권 책임 발생 항소 관련 판례 알려주세요,221,221,cnn,{},TRUE,
감전으로 인한 피해손실 보상후 구상금 청구 판례를 알고싶습니다,221,221,cnn,{},TRUE,
감전사고 관련 구상권 청구 판례 중 구상금 면책 판례 알려줘,221,221,cnn,{},TRUE,
감전사고 관련된 구상권 청구 판례 모두 검색해줘,221,221,cnn,{},TRUE,
감전사고에 대해 청구할 수 있는 구상권의 범위에 대한 판례는?,221,221,cnn,{},TRUE,
업무중 감전사고에 대해 구상권청구 소송의 판례가 있나요?,221,221,cnn,{},TRUE,
업무중 감전사고에 대한 구상금 배상 청구 소송의 판례가 있나요?,245,221,none,{},FALSE,
감전사고 예견성에 대해 적시된 구상소송 청구 판례,221,221,cnn,{},TRUE,
감전사고 구상소송 판례 중 헌법에 위배되는 판례가 있나요?,221,221,cnn,{},TRUE,
5인이하 법인도 신청 대상에 포함돼요?,222,222,cnn,{},TRUE,
5인미만인 회사도 공제 가입해도 되나요?,222,222,cnn,{},TRUE,
가입대상 조건중에 직원수도 있어요?,222,222,cnn,{},TRUE,
일정 직원수 충족돼야 공제가입에 가능한가요,251,222,none,{},FALSE,
직원수 몇명이상이어야 가입가능해요?,222,222,cnn,{},TRUE,
회사 직원수 몇명 넘어야 가입할 수 있는건가요,222,222,cnn,{},TRUE,
어떤 요건을 충족해야 중소기업이 되나요,223,223,cnn,{},TRUE,
어떤 요건을 충족해야 중견기업이 되나요,223,223,cnn,{},TRUE,
중견기업 판단 기준 궁금해요,223,223,cnn,{},TRUE,
중소 중견 판단 어떻게 함?,223,223,cnn,{},TRUE,
중견 기준이뭐야,223,223,cnn,{},TRUE,
물품대금 미결제 건 관련 전부금청구소송 안내,224,224,cnn,{},TRUE,
납입기한이 지난 물품대금 관련 전부금청구소송 판례 안내,224,224,cnn,{},TRUE,
전부금 청구 시 참고할만한 소송판례는?,224,224,cnn,{},TRUE,
전부금 관련 청구소송에 대해 알려주세요,224,224,cnn,{},TRUE,
전부금소송 중에 도급물품과 관련된  판례 모두 보여줘,224,224,cnn,{},TRUE,
받지못한 물품대금때문에 전부금소송을 하고자 하는데 관련 판례가 있다면?,224,224,cnn,{},TRUE,
전부금지급을 청구하는 소송의?판례가 궁금합니다,224,224,cnn,{},TRUE,
전부금청구의 소 제기 관련 판례 ,224,224,cnn,{},TRUE,
전부금청구소송 판결 결정문 검색,224,224,cnn,{},TRUE,
전부금청구소송의 대표 판례 안내,224,224,cnn,{},TRUE,
압류 채권자의 전부 채권 행사 사례 보기,195,224,none,{},FALSE,
전부명령의 효력 검색,224,224,cnn,{},TRUE,
전부명령의 효력에 대해 궁금해요,224,224,cnn,{},TRUE,
전부명령과 추심명령의 각 효력에 대해 알고싶어요,224,224,cnn,{},TRUE,
전부금청구소송 제기 후 진행 절차 안내,224,224,cnn,{},TRUE,
전부금청구소송 승소 후 진행되는 절차가 궁금해요,224,224,cnn,{},TRUE,
전부금청구소송에 걸리는 기간은 얼마나 되나요?,224,224,cnn,{},TRUE,
전부금청구소송에 사용된 소송비용 청구방법,224,224,cnn,{},TRUE,
공제를 가입할 수 있는 조건에 회사 대표 자녀여도 괜찮나요,225,225,cnn,{},TRUE,
엄마가 회사대표인데 저도 가입대상인가요?,225,225,cnn,{},TRUE,
회사 대표랑 모녀관계인데 가입시 문제되지는 않나요?,67,225,none,{},FALSE,
대표이사와 모자관계인 경우에도 공제 신청할 수 있어요,225,225,cnn,{},TRUE,
대표자 자녀들도 신청대상자에 포함되나요?,225,225,cnn,{},TRUE,
대표자 자녀도 가입가능한지 알려줘,225,225,cnn,{},TRUE,
제3자에 의한 정전피해 관련 손배상청구소송의 책임비율 관련 판례 변경된 경우,226,226,cnn,{},TRUE,
정전피해 야기한 제3자행위 관련 손배상청구소송의 인용 판례의 변경,226,226,cnn,{},TRUE,
제3자행위로 정전피해 발생시 손배상청구소송에서 손해액 산정기준 관련 판례 변경 사례,226,226,cnn,{},TRUE,
제3자에 의한 정전피해 발생 관련 손배상청구소송에서 간접강제 명령한 판례,226,226,cnn,{},TRUE,
정전피해가 제3자에 의한 경우 손배상청구소송에서 청구권 충족요건 관련 판례,226,226,cnn,{},TRUE,
제3자로 인한 정전사고에 대한?손배상청구소송의 불법행위 관련 판례가 변경된 경우,226,226,cnn,{},TRUE,
정전피해 야기한 제3자행위 관련 손배상청구권 충족요건 관련 대법원 판례,226,226,cnn,{},TRUE,
정전사고를 야기한 제3자행위 관련 손배상청구소송에서 간접강제 관련 대법원 판례,226,226,cnn,{},TRUE,
제3자에 의한 정전피해 관련 손배상청구소송의 충족요건 관련 판례 변경된 사례,226,226,cnn,{},TRUE,
정전피해가 제3자에 의한 경우 손배상청구권 기각 판결을 변경한 판례,226,226,cnn,{},TRUE,
제3자로 인한 정전사고 관련 손배상소송에서 손해배상책임의 범위 관련 대법원 판례,226,226,cnn,{},TRUE,
정전피해 야기한 제3자행위 관련 손배상청구소송에서 간접강제 관련 판례 변경된 경우,226,226,cnn,{},TRUE,
제3자에 의해 정전피해 발생 관련 손배상청구소송에서 청구권 일부 인용된 판례,226,226,cnn,{},TRUE,
정전피해 야기한 제3자행위 관련 손배상청구소송에서 배상책임 일부 제한한 판례,226,226,cnn,{},TRUE,
정전사고 야기한 제3자행위 관련 손해배상청구소송에서 과실비율 관련 판례,226,226,cnn,{},TRUE,
제3자로 인해 정전사고 발생시 손배상청구소송에서 책임과실비율 관련 대법원 판례,226,226,cnn,{},TRUE,
정전피해 초래한 제3자행위 관련 손배상청구소송에서 배상책임?제한한 관련 대법원 판례,226,226,cnn,{},TRUE,
정전사고 발생이 제3자로 인한 경우 관련 손배상청구권 일부만 인용한 대법원 판례,226,226,cnn,{},TRUE,
제3자행위로 인해 정전피해 발생 관련 손배상청구소송에서 배상책임 제한 관련 판례 변경된 경우,226,226,cnn,{},TRUE,
정전사고 발생이 제3자에 의한 손배상청구소송에서 책임과실비율 관련 판례 변경 사례,226,226,cnn,{},TRUE,
중소기업에 외국법인은 포함하면 안되나요?,227,227,cnn,{},TRUE,
중소기업에 외국법인은 해당되지 않나요,227,227,cnn,{},TRUE,
외국법인은 중소기업 아닌거죠,227,227,cnn,{},TRUE,
외국법인은 소규모여도 중소기업이라 할 수 없죠?,227,227,cnn,{},TRUE,
주차장 이용하려는데요 얼마나 들까요?,110,228,none,{},FALSE,
주차요금 싼편인가?,110,228,none,{},FALSE,
하우머치 발렛서비스,228,228,cnn,{},TRUE,
요금대 알려줘봐 주차 대행,228,228,cnn,{},TRUE,
대신 주차해주는 서비스 공짜인가?,228,228,cnn,{},TRUE,
얼마나 내야하니 발렛파킹 맡기려면,228,228,cnn,{},TRUE,
주차 대리로 부탁할래 얼마필요해?,228,228,cnn,{},TRUE,
금액얼마정도 하나 대리주차,228,228,cnn,{},TRUE,
주차 대신해주고 얼마 받니?,228,228,cnn,{},TRUE,
요금 알려줘 주차대리서비스,228,228,cnn,{},TRUE,
주차장에서 대리주차해주는거 많이 비싸?,228,228,cnn,{},TRUE,
현금 얼마나 필요해? 주차대행할때?,228,228,cnn,{},TRUE,
경차는 주차대행요금 얼마에요?,228,228,cnn,{},TRUE,
일반차량이랑 경차랑 주차대행 요금 달라?,228,228,cnn,{},TRUE,
주차료랑 주차대행요금은 따로 지?,228,228,cnn,{},TRUE,
선불로 계산하는거야? 주차대행요금,228,228,cnn,{},TRUE,
할인요금 가능한 조건 알려줘봐 대리주차,228,228,cnn,{},TRUE,
대리주차 얼마주고 부르는거임?,228,228,cnn,{},TRUE,
주차대행 이용시 얼마?,228,228,cnn,{},TRUE,
주차대행 요금 얼마?,228,228,cnn,{},TRUE,
주차대행하면 주차비는 얼마?,228,228,cnn,{},TRUE,
주차대행 비용 얼마 발생함?,228,228,cnn,{},TRUE,
주차대행 서비스 기본 얼마인거야?,228,228,cnn,{},TRUE,
일반이나 대형 주차대행 요금 차이 없어?,228,228,cnn,{},TRUE,
전기세관련 사해행위취소소송에 대한 역소송 판례,229,229,cnn,{},TRUE,
전기업체의 사해행위취소소송을 받은 경우 어떻게 해야되나요?,229,229,cnn,{},TRUE,
전기세 사행행위취소소송에 반박가능한 자료,229,229,cnn,{},TRUE,
전기세 납부불이행자 중 사해행위를 한 사람에게 걸 수 있는 소송,229,229,cnn,{},TRUE,
전기공급업체에서 개인을 상대로 사해행위취소소송을 한 사례가 궁금해,229,229,cnn,{},TRUE,
전기세 파산채무자의 사해행위적발 시 걸 수 있는 소송,229,229,cnn,{},TRUE,
업체의 사해행위 적발로 인한 사해행위취소소송에서 승소한 사례,229,229,cnn,{},TRUE,
사해행위가 의심가는 경우 어떤 증거가 있어야 사해행위취소소송에서 승소할 수 있을까요?,229,229,cnn,{},TRUE,
전기세에 대한 사해행위 유력증거에는 어떤게 있나요?,229,229,cnn,{},TRUE,
사해행위취소소송에서 패소할 경우 어떤 법적보호를 받게 되나요?,229,229,cnn,{},TRUE,
유산을 상속하여 사해행위를 한 경우 사해행위취소소송을 할 수 있나요?,229,229,cnn,{},TRUE,
사해행위적발 시 전기세 미납요금을 받을 수 있나요?,229,229,cnn,{},TRUE,
사해행위취소소송을 하기 위해 알아야하는?소멸시효가 있나요?,229,229,cnn,{},TRUE,
사해행위취소소송을 처리하는 기간이 어떻게 되나요?,229,229,cnn,{},TRUE,
소액관련 사해행위취소소송 판례를 보여줘,229,229,cnn,{},TRUE,
사해행위가 의심가는 전기체납자의 재산열람이 가능한가요?,229,229,cnn,{},TRUE,
사해행위취소소송에 대한 역소송을 한 사례가 있나요?,229,229,cnn,{},TRUE,
사해행위를 저지른 사람에게 사해행위취소소송 이외의 소송을 건 사례가 있나요?,229,229,cnn,{},TRUE,
법원에서 인정해주는 사해행위 증거에 대해 말해줘,229,229,cnn,{},TRUE,
적발한 사해행위에 대해 걸 수 있는 소송에는 무엇이 있나요?,229,229,cnn,{},TRUE,
전주철거 손해배상청구소송에서 배상액을 적시한 판례,230,230,cnn,{},TRUE,
전주제거 손해배상청구소송에서 배상액이 명시된 판례,230,230,cnn,{},TRUE,
전신주제거 손배상청구 재판에서 배상액을 적시한 판례,230,230,cnn,{},TRUE,
전신주철거 손해배상청구소송에서 배상액이 명시된 판결례,230,230,cnn,{},TRUE,
전봇대철거 손해배상청구재판에서 배상액이 결정된 재판례,230,230,cnn,{},TRUE,
전봇대제거 손배상청구소송에서 배상액을 명시한 판결 결과,230,230,cnn,{},TRUE,
전선주제거 손해배상청구소송 중?배상액이 명시된 판결 선례,230,230,cnn,{},TRUE,
전선주철거 손배상청구 재판 중 배상액이 선고된 판례,230,230,cnn,{},TRUE,
사유지점용료 결정한 전주철거 손해배상청구재판의 판례,230,230,cnn,{},TRUE,
사유지점용료 지급을 결정한 전주제거 손배상청구소송 판결례,230,230,cnn,{},TRUE,
사유지점용료 지급 명령한 전신주제거 손해배상청구소송 판례,230,230,cnn,{},TRUE,
피해보상금 지급 결정한 전신주제거 손배상청구소송 판결 결과,230,230,cnn,{},TRUE,
배상금 지급 선고한 전신주철거 손배상청구소송 결과,230,230,cnn,{},TRUE,
사유지점용료 지급 결정한 전봇대철거 손해배상청구재판 결과,230,230,cnn,{},TRUE,
손해배상금 지급 명령한 전봇대제거 손배상청구소송 판례,230,230,cnn,{},TRUE,
피해보상금 지급선고한 전선주제거 손해배상청구 재판 판례,230,230,cnn,{},TRUE,
전기누전으로 인한 화재사고 시 추심금청구소송 판례 보기,231,231,cnn,{},TRUE,
전기누전 화재 관련 추심금청구소송 판례 안내,231,231,cnn,{},TRUE,
전기배선 관련 화재사고 시 추심금청구소송 사례 ,231,231,cnn,{},TRUE,
전기 사고로 화재 발생 시 관련 추심금청구소송 판례 ,231,231,cnn,{},TRUE,
화재로 인한 인명피해 관련 추심금청구소송 판례,231,231,cnn,{},TRUE,
화재로 유발된 인명피해에 대한 추심청구소송 판례 보기,231,231,cnn,{},TRUE,
화재사고 피해 금액 관련 추심청구소송 승소 후 절차,231,231,cnn,{},TRUE,
화재 추심청구소송에서 승소 후 추심 절차 조회,231,231,cnn,{},TRUE,
화재 사망사고 관련 추심청구소송 승소 사례,231,231,cnn,{},TRUE,
화재사고로 사망한 경우 추심청구소송 판례,231,231,cnn,{},TRUE,
공용시설물 화재사고와 관련된 추심금청구소송 판례,231,231,cnn,{},TRUE,
공동시설물 내 화재 관련 추심금청구소송 사례 보기,231,231,cnn,{},TRUE,
공동시설물 안에서 발생한 화재사고관련 추심금청구소송 판례,231,231,cnn,{},TRUE,
공용시설 내 화재 발생 관련 추심금청구소송 판례 조회,231,231,cnn,{},TRUE,
임차인의 부주의 원인의 건물화재에 대한 추심금청구소송의 판례 보기,231,231,cnn,{},TRUE,
임차인에게 귀책사유가 있을 때 추심금청구소송 판례,195,231,none,{},FALSE,
보존상 하자로 화재피해가 발생한 경우 추심소송 판례 보기,231,231,cnn,{},TRUE,
보존자의 부주의로 인한 화재 관련 추심금청구소송 판결문 모두 찾기,231,231,cnn,{},TRUE,
공작물 설치 하자로 인한 화재 피해 관련 추심금청구소송 사례 보기,231,231,cnn,{},TRUE,
주 채무자가 체납요금 변제하지 않을 경우 연대보증 관련 소송 판례,232,232,cnn,{},TRUE,
체납요금 연대보증인의 구상금청구소송 승소사례,232,232,cnn,{},TRUE,
상습 전기요금 체납자에 대한 연대보증 관련 민사소송 판례 보기,232,232,cnn,{},TRUE,
체납요금 연대보증책임 관련 소송 제기한 사례,232,232,cnn,{},TRUE,
체납요금 연대보증에 기초하여 강제집행한 사례 보기,232,232,cnn,{},TRUE,
공용건물에 설정한 체납요금 연대보증과 관련된 소송 판례,232,232,cnn,{},TRUE,
전기요금 체납에 대한 연대보증계약을 체결한 경우 관련 소송,232,232,cnn,{},TRUE,
체납요금 연대보증채무금 관련 청구소송 판례 보기,232,232,cnn,{},TRUE,
전기요금 체납에 설정한 연대보증채무금에 대한 소송 사례 보기,232,232,cnn,{},TRUE,
임차인의 체납요금에 대한 연대보증 관련 소송 판례,232,232,cnn,{},TRUE,
연대보증을 해지한 경우 체납요금 관련 소송에 대하여,232,232,cnn,{},TRUE,
체납금 연대보증채무의 이행을 구하는 소송 판례가 궁금해요,232,232,cnn,{},TRUE,
전기사용자의 전기료 체납에 대한 연대보증소송 가능 여부,232,232,cnn,{},TRUE,
체납금 연대보증 관련 소송 진행절차,232,232,cnn,{},TRUE,
실제 전력사용자의 체납된 전기요금 채무에 대한 연대보증 소송,232,232,cnn,{},TRUE,
체납요금 관련 연대보증 소송 제기할 때 참조되는 기존 판례 내용,232,232,cnn,{},TRUE,
전기요금 체납으로 발생한 채무의 연대보증책임을 구하는 소송 판례 보기,232,232,cnn,{},TRUE,
연대보증 설정한 전기요금체납금 관련 소송 판례,232,232,cnn,{},TRUE,
체납요금에 대하여 연대보증의 책임을 지는 경우 소송 판례,232,232,cnn,{},TRUE,
체납요금 관련 연대보증책임을 이행한 사례,232,232,cnn,{},TRUE,
납부예정일이 임박했는데 아직 메일이 안왔어요,233,233,cnn,{},TRUE,
납부예정 안내메일이 아직 도착하지 않았어요,233,233,cnn,{},TRUE,
납부일이 임박했는데 아직 메일이 안왔네요?,233,233,cnn,{},TRUE,
납부예정 안내메일이 안왔는데 다시 보내주세요,233,233,cnn,{},TRUE,
미도착 납부예정 안내메일 재발행,233,233,cnn,{},TRUE,
돌출물충돌 사고때문에 회부된 구상권 청구?재판의 판결문을 보여줘,234,234,cnn,{},TRUE,
돌출물에 부딪치는 사고로 인해 회부된 구상권 청구 소송의 판결문,234,234,cnn,{},TRUE,
돌출물충돌 사고에 대한 구상권 청구 소송 판례 중 위헌 판례가 있나요?,234,234,cnn,{},TRUE,
돌출물에 부딪쳐 발생한 사고에 대한 구상권 청구 소송 판례 중 위헌 판례가 있는지?,234,234,cnn,{},TRUE,
돌출물충돌 사고에 대한 구상권 청구 소송 판례 중 헌법에 위배되는 사례가 있나요?,234,234,cnn,{},TRUE,
돌출물충돌 사고에 대한 구상권 청구를 이유로 부쳐진 재판의 결과 보기,234,234,cnn,{},TRUE,
돌출물에 부딪쳐 발생한 사고에 대한 구상권 청구를 이유로 제기된 소송의 판결 선례,234,234,cnn,{},TRUE,
돌출물충돌 사고에 대한 구상권 청구 소송이 진행된 경우를 찾아 그 판례를 알려줘,234,234,cnn,{},TRUE,
돌출물충돌 사고에 대해 구상금 청구 재판이 회부된 경우와 그 결과 보기,234,234,cnn,{},TRUE,
돌출물에 부딪쳐 발생한 사고에 대해 구상금이 청구된 소송 및 그 판례 검색해줘,234,234,cnn,{},TRUE,
돌출물충돌에 대한 구상소송 판례 중 판례 변경이 일어난 경우,234,234,cnn,{},TRUE,
돌출물충돌에 대한 구상권 청구 소송 판례 중 판례가 변경된 적 있나요?,234,234,cnn,{},TRUE,
돌출물에 부딪쳐 발생한 사고에 구상권이 청구된 판례 중 변경된 적 있는지,234,234,cnn,{},TRUE,
돌출물에 부딪쳐 발생한 사고에 관한 구상소송 판례 중 판례 변경 사례,234,234,cnn,{},TRUE,
돌출물충돌로 인해 소송까지 간 경우 구상권을 청구한 소송이 있나요?,234,234,cnn,{},TRUE,
돌출물충돌로 소송까지 걸린 경우에서 구상소송 판례 찾기,234,234,cnn,{},TRUE,
돌출물에 부딪쳐 발생한 사고로 인해 소송까지 간 경우 구상소송 판례 검색해줘,234,234,cnn,{},TRUE,
돌출물에 부딪쳐 발생한 사고때문에 소송까지 걸린 경우 구상권 청구 사례 보기,234,234,cnn,{},TRUE,
돌출물에 부딪쳐 발생한 사고때문에 회부된 구상권 청구 재판의 판결문 보기,234,234,cnn,{},TRUE,
돌출물충돌 사고로 회부된 구상권 청구 재판의 판결문 검색,234,234,cnn,{},TRUE,
문의요청할 곳 어디야 여권분실시,235,235,cnn,{},TRUE,
여권말야 없어지면 어디로 문의해야되니?,28,235,none,{},FALSE,
출국하려는데 여권이 안보여요 어떻게 하나요,235,235,cnn,{},TRUE,
패스포트 없어진거 신고 하려고,235,235,cnn,{},TRUE,
여권이 훼손됐는데 새로발급받을수있어?,235,235,cnn,{},TRUE,
집에 여권 두고온것같은데 재발급받을수있을까?,235,235,cnn,{},TRUE,
출국 후 해외에서 여권 잃어버리면 어떻게 대처할까요?,235,235,cnn,{},TRUE,
여권 없어지면 어쩔 각?,235,235,cnn,{},TRUE,
여권 분실되면 오졌다,235,235,cnn,{},TRUE,
여권 분실되면 어쩔 부분?,235,235,cnn,{},TRUE,
출국하고 여권 잃어버리면 어디로 연락해야 ㅇㅈ?,235,235,cnn,{},TRUE,
해외에서 여권 잃어버리면 어뜨캄?,235,235,cnn,{},TRUE,
해외에서 여권 잃어버렸을 ???,235,235,cnn,{},TRUE,
국외에서 여권 잃어버리면?,235,235,cnn,{},TRUE,
분실했어 해외에서 여권을,235,235,cnn,{},TRUE,
외국 나갔다 여권 찢어짐 어뜨캄?,235,235,cnn,{},TRUE,
해외 여권 분실하면?,235,235,cnn,{},TRUE,
출국하고 나서 여권이 안보인다?,235,235,cnn,{},TRUE,
출국 후 여권이 없어졌다?,235,235,cnn,{},TRUE,
여권 해외에서 떨쳐버리고 온 듯,235,235,cnn,{},TRUE,
여권 해외 어딘가에 놓고 온 거 같아,235,235,cnn,{},TRUE,
여권 외국에서 없어지면 어디다 도움 요청함?,235,235,cnn,{},TRUE,
여권 긴급발급할 땐 어디다 연락해야 댐?,235,235,cnn,{},TRUE,
여권 잃어버리면 어째?,235,235,cnn,{},TRUE,
여권 긴급발권해야 할 땐 어떻게 해?,235,235,cnn,{},TRUE,
여권 잃어버렸을 때 신고 번호가 있을까,235,235,cnn,{},TRUE,
티원 콜벤어디서 타,236,236,cnn,{},TRUE,
버스 어디서 타면 돼?,236,236,cnn,{},TRUE,
셔틀 어디서 타면 돼?,236,236,cnn,{},TRUE,
자기부상은 어디서 타요?,236,236,cnn,{},TRUE,
어디서 타냐 철도는,236,236,cnn,{},TRUE,
